"sku","ps_url","cost","supplier"
"LC8327","costume-/130-costume-aigle-noir.html","15.990000","G2to"
"LC8331","costume-/34-costume-de-vampire.html","18.180000","G2to"
"LC8332","costume-/127-costume-egyptienne.html","15.440000","G2to"
"LC8335","costume-/129-costume-d-ange.html","15.990000","G2to"
"LC8340","costume-/21-costume-sorciere.html","22.040000","G2to"
"LC8343","costume-/123-costume-torero.html","25.340000","G2to"
"LC8344","costume-/20-costume-bouffon-.html","15.990000","G2to"
"LC8349","costume-/132-costume-superwoman.html","22.850000","G2to"
"LC8379P","costume-/139-costume-peace-and-love.html","28.530000","G2to"
"LC8390","costume-/108-costume-pussycat.html","27.210000","G2to"
"LC8396","costume-/18-costume-sorciere.html","24.150000","G2to"
"Lc8399","costume-/31-costume-de-diablesse.html","27.900000","G2to"
"LC8400","costume-/78-costume-lapin-casino.html","18.140000","G2to"
"LC8404","costume-/16-robe-princesse.html","32.940000","G2to"
"LC8417","costume-/29-costume-de-corsaire.html","21.600000","G2to"
"Lc8423","costume-/30-costume-de-vampire.html","28.650000","G2to"
"LC8423","costume-/496-halloween-costume-vampire.html","28.650000","G2to"
"LC8426","costume-/17-costume-princesse.html","35.370000","G2to"
"LC8443","costume-/50-costume-d-infirmiere.html","11.580000","G2to"
"LC8444","costume-/505-costume-lapine.html","13.560000","G2to"
"LC8466","costume-/498-halloween-costume-diablesse.html","18.090000","G2to"
"LC8575","costume-/494-halloween-costume-vampire.html","47.250000","G2to"
"LC8576","costume-/497-halloween-costume-diablesse.html","24.750000","G2to"
"LC8579","costume-/495-halloween-costume-vampire.html","34.500000","G2to"
"LC8582","costume-/503-costume-corsaire.html","19.400000","G2to"
"LC8603","costume-/502-costume-batman.html","43.260000","G2to"
"LC8604","costume-/493-halloween-costume-vampire.html","38.660000","G2to"
"LC8607","costume-/492-costume-de-fantome.html","32.250000","G2to"
"LC8608","costume-/501-costume-ecoliere.html","15.480000","G2to"
"LC8618","costume-/504-costume-bucheron.html","20.670000","G2to"
"LC9002","costume-/36-costume-d-infirmiere.html","18.990000","G2to"
"MA011","home/461-masque-loup-tigre.html","8.500000","G2to"
"MA012","accesoires/462-masque-loup.html","8.000000","G2to"
