"active";"category_name";"reference";"name";"color";"description";"price";"quantity";"picture_link"
1;"Maillots de bain";"balconnetn-LXL";"Maillot de bain 3 pièces ""Balconnet"" noire";"noir";"Maillot de bain 3 pièces balconnet noire. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4284-6837-thickbox/maillot-de-bain-3-pieces-balconnet-noire.jpg"
1;"Maillots de bain";"balconnetn-XLXXL";"Maillot de bain 3 pièces ""Balconnet"" noire";"noir";"Maillot de bain 3 pièces balconnet noire. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4284-6837-thickbox/maillot-de-bain-3-pieces-balconnet-noire.jpg"
1;"Maillots de bain";"balconnetn-ML";"Maillot de bain 3 pièces ""Balconnet"" noire";"noir";"Maillot de bain 3 pièces balconnet noire. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4284-6837-thickbox/maillot-de-bain-3-pieces-balconnet-noire.jpg"
1;"Maillots de bain";"americain-SM";"Maillot de bain triangle ""Américain""";"rouge";"Maillot de bain triangle ""Américain"" Haut de maillot triangle avec mousse amovible. Se noue dans le dos et autour du cou. Culotte assorti, se noue sur les côtés.Composition: 83% Polyester - 17% Elasthane.";"12.00";0;"http://www.chantefeuille.fr/4288-6847-thickbox/maillot-de-bain-triangle-americain.jpg"
1;"Maillots de bain";"americain-ML";"Maillot de bain triangle ""Américain""";"rouge";"Maillot de bain triangle ""Américain"" Haut de maillot triangle avec mousse amovible. Se noue dans le dos et autour du cou. Culotte assorti, se noue sur les côtés.Composition: 83% Polyester - 17% Elasthane.";"12.00";10;"http://www.chantefeuille.fr/4288-6847-thickbox/maillot-de-bain-triangle-americain.jpg"
1;"Maillots de bain";"americain-LXL";"Maillot de bain triangle ""Américain""";"rouge";"Maillot de bain triangle ""Américain"" Haut de maillot triangle avec mousse amovible. Se noue dans le dos et autour du cou. Culotte assorti, se noue sur les côtés.Composition: 83% Polyester - 17% Elasthane.";"12.00";9;"http://www.chantefeuille.fr/4288-6847-thickbox/maillot-de-bain-triangle-americain.jpg"
1;"Maillots de bain";"americain-XLXXL";"Maillot de bain triangle ""Américain""";"rouge";"Maillot de bain triangle ""Américain"" Haut de maillot triangle avec mousse amovible. Se noue dans le dos et autour du cou. Culotte assorti, se noue sur les côtés.Composition: 83% Polyester - 17% Elasthane.";"12.00";10;"http://www.chantefeuille.fr/4288-6847-thickbox/maillot-de-bain-triangle-americain.jpg"
1;"Maillots de bain";"leo-x005j-42";"Maillot de bain ""Frange"" jaune fluo";"jaune";"Maillot de bain bandeau ""Frange"" jaune fluo. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";1;"http://www.chantefeuille.fr/4289-6849-thickbox/maillot-de-bain-frange-jaune-fluo.jpg"
1;"Maillots de bain";"leo-x005j-44";"Maillot de bain ""Frange"" jaune fluo";"jaune";"Maillot de bain bandeau ""Frange"" jaune fluo. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";3;"http://www.chantefeuille.fr/4289-6849-thickbox/maillot-de-bain-frange-jaune-fluo.jpg"
1;"Maillots de bain";"leo-x005j-46";"Maillot de bain ""Frange"" jaune fluo";"jaune";"Maillot de bain bandeau ""Frange"" jaune fluo. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";3;"http://www.chantefeuille.fr/4289-6849-thickbox/maillot-de-bain-frange-jaune-fluo.jpg"
