"Ref. maitre";"Code article";"Designation";"Stock Starnet France";"Etat"
"1022";"1022QWHI";"Bas Autofixants Larges Jarretières DZ Couleur : Blanc / Taille : PS";"87";"disponible"
"1022";"1022RED";"Bas Autofixants Larges Jarretières DZ Couleur : Rouge / Taille : OS";"48";"disponible"
"1022";"1022WHI";"Bas Autofixants Larges Jarretières DZ Couleur : Blanc / Taille : OS";"54";"disponible"
"1024";"1024NUD";"Bas Cubains Bicolores Couleur : Chair/Noir / Taille : OS";"0";"commande"
"1024";"1024QNUD";"Bas Cubains Bicolores Couleur : Chair/Noir / Taille : PS";"122";"disponible"
"1026";"1026WRED";"Bas Cubains Coutures Sensuality Couleur : Blanc/Rouge / Taille : OS";"0";"non_reconduit"
"1027";"1027NRD";"Bas Cubains Passionnels Couleur : Chair/Rouge / Taille : OS";"53";"disponible"
"1028";"1028BRED";"Bas Fantaisie de Noeuds Couleur : Noir/Rouge / Taille : OS";"0";"non_reconduit"
"1028";"1028QWRED";"Bas Fantaisie de Noeuds Couleur : Blanc/Rouge / Taille : PS";"19";"promo30"
"1028";"1028WRED";"Bas Fantaisie de Noeuds Couleur : Blanc/Rouge / Taille : OS";"0";"non_reconduit"
"1039";"1039PBLK";"Bas Cubains Duo Couleur : Noir/Rose / Taille : OS";"46";"disponible"
"1039";"1039RBLK";"Bas Cubains Duo Couleur : Noir/Rouge / Taille : OS";"41";"disponible"
"1040";"1040BPNK";"Bas Finesse de Ruban Couleur : Noir/Rose / Taille : OS";"47";"disponible"
"1040";"1040BRED";"Bas Finesse de Ruban Couleur : Noir/Rouge / Taille : OS";"45";"disponible"
"1040";"1040QBRED";"Bas Finesse de Ruban Couleur : Noir/Rouge / Taille : PS";"45";"disponible"
"1042";"1042OS";"Bas Autofixants Coutures Couleur : Noir / Taille : OS";"55";"disponible"
"1048";"1048NBLKOS";"Bas Cubain avec Dentelle Couleur : Chair/Noir / Taille : OS";"26";"disponible"
"1049";"1049RBLK";"Bas Jeu Passionnel Couleur : Rouge/Noir / Taille : OS";"39";"disponible"
"1049";"1049RWHI";"Bas Jeu Passionnel Couleur : Rouge/Blanc / Taille : OS";"26";"promo30"
"1050";"1050OS";"Bas Passion Divine Couleur : Rouge/Noir / Taille : OS";"0";"non_reconduit"
"1051";"1051OS";"Bas Cubains Chics Couleur : Noir / Taille : OS";"22";"disponible"
"1052";"1052OS";"Bas Suspendus Gros Pois Couleur : Rouge/Noir / Taille : OS";"2";"promo30"
"1053";"1053BKLEOOS";"Bas suspendus Léopard Couleur : Noir/Leopard / Taille : OS";"45";"disponible"
"1056";"1056OS";"Bas Toile D'araignée Couleur : Noir/Argent / Taille : OS";"43";"disponible"
"1058";"1058OS";"Bas Noeuds Rubans Couleur : Noir/Rouge / Taille : OS";"46";"disponible"
"1059";"1059BLK";"Bas ""Seconde Peau"" Pure transparence Couleur : Noir";"67";"disponible"
"1060";"1060BLK";"Bas ""Coutures divines""  Pure transparence  Couleur : Noir";"31";"disponible"
"1090Q";"1090QOS";"Bas Voile Couleur : Blanc/Bleu pâle / Taille : PS";"0";"non_reconduit"
"10SIRI";"10SIRIPNK";"Stimulateur Sensuel Siri Couleur : Rose";"20";"disponible"
"10SIRI";"10SIRIPUR";"Stimulateur Sensuel Siri Couleur : Mauve";"16";"disponible"
"10SIRI";"10SIRIRED";"Stimulateur Sensuel Siri Couleur : Rouge";"6";"disponible"
"10ZIZO";"10ZIZOBLU";"Vibromasseur Débutant Zizo Couleur : Bleu";"6";"disponible"
"10ZIZO";"10ZIZOCERI";"Vibromasseur Débutant Zizo Couleur : Cerise";"2";"disponible"
"10ZIZO";"10ZIZOPUR";"Vibromasseur Débutant Zizo Couleur : Mauve";"4";"disponible"
"1101";"1101BLK";"Bas Délice de Coutures Couleur : Noir / Taille : OS";"0";"commande"
"1101";"1101NUD";"Bas Délice de Coutures Couleur : Chair / Taille : OS";"62";"disponible"
"1101";"1101QBLK";"Bas Délice de Coutures Couleur : Noir / Taille : PS";"56";"disponible"
"1101";"1101QNUD";"Bas Délice de Coutures Couleur : Chair / Taille : PS";"47";"disponible"
"1101";"1101QRED";"Bas Délice de Coutures Couleur : Rouge / Taille : PS";"45";"disponible"
"1101";"1101QWHI";"Bas Délice de Coutures Couleur : Blanc / Taille : PS";"53";"disponible"
"1101";"1101RED";"Bas Délice de Coutures Couleur : Rouge / Taille : OS";"41";"disponible"
"1101";"1101WHI";"Bas Délice de Coutures Couleur : Blanc / Taille : OS";"48";"disponible"
"11AKO";"11AKOBLU";"Vibromasseur Pocket Ako Couleur : Bleu";"8";"disponible"
"11AKO";"11AKOCERI";"Vibromasseur Pocket Ako Couleur : Cerise";"15";"disponible"
"11AKO";"11AKOPUR";"Vibromasseur Pocket Ako Couleur : Mauve";"9";"disponible"
"11IRIS";"11IRISBLU";"Vibromasseur en Silicone Iris Couleur : Bleu";"23";"disponible"
"11IRIS";"11IRISLPNK";"Vibromasseur en Silicone Iris Couleur : Rose pâle";"4";"disponible"
"11IRIS";"11IRISPNK";"Vibromasseur en Silicone Iris Couleur : Rose";"10";"disponible"
"1210";"1210OS";"Bas Contraste Floral Couleur : Noir/Rouge / Taille : OS";"30";"disponible"
"1278";"1278BLK";"Collant Shorty Union* Couleur : Noir / Taille : OS";"71";"disponible"
"1278";"1278RED";"Collant Shorty Union* Couleur : Rouge / Taille : OS";"51";"disponible"
"1278";"1278WHI";"Collant Shorty Union* Couleur : Blanc / Taille : OS";"18";"disponible"
"1278Q";"1278QBLK";"Collant Shorty Union Couleur : Noir / Taille : PS";"33";"disponible"
"1278Q";"1278QRED";"Collant Shorty Union Couleur : Rouge / Taille : PS";"38";"disponible"
"1278Q";"1278QWHI";"Collant Shorty Union Couleur : Blanc / Taille : PS";"48";"disponible"
"1279";"1279BRED";"Shorty Dentelle et Collant Filet Couleur : Noir/Rouge / Taille : OS";"54";"disponible"
"1279";"1279NBLK";"Shorty Dentelle et Collant Filet Couleur : Chair/Noir / Taille : OS";"51";"disponible"
"12BBL";"12BBLOS";"Gants longs satinés à boutons Couleur : Noir / Taille : OS";"89";"disponible"
"12ELISE2";"12ELISE2BLK";"Elise 2 Couleur : Noir";"11";"disponible"
"12ELISE2";"12ELISE2PNK";"Elise 2 Couleur : Rose";"29";"disponible"
"12ELISE2";"12ELISE2PRU";"Elise 2 Couleur : Prune";"21";"disponible"
"1300";"1300BLK";"Collant Jacquard Fleurs Couleur : Noir / Taille : OS";"56";"disponible"
"1300";"1300WHI";"Collant Jacquard Fleurs Couleur : Blanc / Taille : OS";"52";"disponible"
"1301";"1301BGRY";"Collant Floral gris transparent rose noir Couleur : Noir/Gris";"83";"disponible"
"13535";"13535BLKL";"Legging effet mouillé Couleur : Noir / Taille : L";"12";"disponible"
"13535";"13535BLKM";"Legging effet mouillé Couleur : Noir / Taille : M";"15";"disponible"
"13535";"13535BLKS";"Legging effet mouillé Couleur : Noir / Taille : S";"15";"disponible"
